,title,category
264,내년 대선에 지방선거까지   학군이 부동산을 흔든다,Economic
265,신반포 차 재건축  이번에는 성공할까   오세훈표  신속통합기획  추진,Economic
266,북촌 일대에 주차장 들어선다 보행환경도 개선,Economic
267,인천시  민생경제 일상회복 위해  조 천억원 푼다,Economic
268,LGU    디즈니  IPTV  독점 제공  월  만    원에 마음껏 즐기세요 ,Economic
269,계기판 없는 미래차 쏟아진다 LG가 증강현실에 주목한 이유,Economic
270,한전 사장  원전 비중  국민 공감대 있다면 다시 생각할 문제 ,Economic
271,위중증    명 최다 신규 확진      명 기록,Economic
272,아이티아이즈  코스닥 상장 첫날     넘게 급락 공모가는 웃돌아,Economic
273,버킷스튜디오  초록뱀에 전략적 투자  빗썸라이브 기대감 높아져 ,Economic
274,  월     일 무역적자   억달러   수출         수입       ,Economic
275, 아파트 대체재  된 오피스텔  올해 매매량  역대 최다 ,Economic
276,하루 평균 업비트 거래대금  코스피 거래대금 추월,Economic
277,은행 가계대출 증가율       이달 정부관리범위 이탈,Economic
278, 자금조달 이마트  부동산 담보로 이베이코리아 인수자금  조 추가 마련,Economic
279,PC방 점령한 메뉴 그대로 내놨더니  대박  카구리 한달새    만개 돌파,Economic
280, 코인뉴스  비트코인  투자자  벽  느꼈나 매수심리 위축에 시세 급락,Economic
281,신협 주담대 금리가      은행과 금리역전 상호금융  밀려드는 대출 막기  고심 ,Economic
282,정승일 한국전력 사장  국민이 원한다면 원전 늘려야 ,Economic
283, 둘이 합해   개  CES      혁신상 휩쓴 삼성 LG전자,Economic
284,광군제 빼빼로데이 십일절 올해 더욱 뜨거운   월  일,Economic
285,이마트 홈플러스  PB 상품   개 중  개 가격 올렸다,Economic
286, 르포 핸드드립 로봇에서부터 비건 마카롱까지 올해  서울 카페쇼  핵심은 가치소비,Economic
287,승용차  요소수  회 구매량  연말까지는 최대   L,Economic
288, fn종목 돋보기  비트나인  그래프DB 메타버스 핵심기술 보유 국내유일 기업,Economic
289,생일땐 기부 음식점선 용기내 챌린지   나부터  선한 영향력 ,Economic
290, 주식 진짜 팔았다    트위터에 머스크가 올린 글,Economic
291,당근마켓  요소수 거래 가이드라인 내놨다  사재기 사기 강경 대응 ,Economic
292,SK이노베이션 NCM  배터리  CES 혁신상   관왕,Economic
293, 중장년세대  은퇴 후 삶 꿈꾸지만  캥거루족  자녀에 발묶여 ,Economic
294,휘발유     원 경유     원 가격대로 내려올 듯 정부  유류세    인하,Economic
295, 제 의 테슬라   리비안 상장 포드 GM 단숨에 추월,Economic
296, 친절한 경제  버거운 김장비 아끼는  농할상품권      싸게 사는 법,Economic
297,테슬라 추월한  르노 조에    월 독일 전기차 등록  위,Economic
298,정부 긴급조치에 오픈마켓서 자취 감춘 요소수  해외직구 판매 계속 ,Economic
299,삼성물산 세사패TV  넉달만에    만  구독 달성,Economic
300,만도  KETI와 전기차 충전 자율주행로봇 만든다,Economic
301, 핫스탁 지오엘리먼트 아이티아이즈 대한전선,Economic
302,해리 왕자  잭도시 저격    트위터가  월   의회 폭동 방관 ,Economic
303,샐바시온   코빅실 V  비강 스프레이 델타 변이       사멸 효능 입증,Economic
304,일론 머스크  테슬라 주식   억달러 매각,Economic
305,기대 못 미친 상장사들 어닝 쇼크 어닝 서프라이즈,Economic
306,코스맥스    ODM  위 굳히기       만개 생산  돌파 ,Economic
307,정부  내년  월까지 요소 요소수 수입관세 면제,Economic
308, 현금 최대  억원     씨티은행 희망퇴직에 직원      여명 신청,Economic
309,원스톱 라이프 누리는 편리미엄 아파트  더샵 동성로센트리엘 ,Economic
310, 제네시스 하우스 뉴욕  공개 도심 속  문화 오아시스 ,Economic
311,엘앤씨바이오  최대 실적 행진  Q 영업익 전년      ,Economic
312,삼성전자  장중  만원선 또 붕괴 인플레이션 우려 직격탄,Economic
313, 슈퍼푸드 인기인데  건강식품서 쇳가루 검출,Economic
314,산업계  요소수 찾기  동분서주  LX인터   서     t 확보,Economic
315,바이옵트로 공모 청약 경쟁률   대   증거금    억원,Economic
316,벤츠 금정 인증중고차 전시장  사직오토랜드로 이전,Economic
317, 떠보기 아니었네  머스크  테슬라 주식    조어치  진짜  팔았다,Economic
318,삼성전자  사내식당  곳 급식 추가 개방,Economic
319,청약제 강화 예고된 세종시 시장은  그래도 오를 것 ,Economic
320, 국세청 칼날 에 분기 영업익 통째로 날리게 된 아시아나,Economic
321,MBK  투자자금   조 시대 고수익 기대 자금 쇄도,Economic
322,신세계 경기점  리뉴얼 하니 충청도 고객도 찾아온다,Economic
323,    일 수출        수입       증가 무역수지는 적자,Economic
324,군에서 쓰던 국산 항법장치  민간서도 쓴다,Economic
325,수능 D    수험생  과민성대장증후군 스트레스  OO으로 관리,Economic
326,케이뱅크  중 저신용자 신용대출 금리 인하,Economic
327,광역 교통망 확충되는 인천  미추 구역  주안 센트럴팰리스  공급 예정,Economic
328,쿠팡플레이  월드컵 최종예선 UAE 이라크 축구 경기 생중계,Economic
329,코로나 백신  독감처럼 매년 접종   당국  정례화 검토 ,Economic
330,진짜 팔았다  머스크  테슬라 지분    조 규모 매각,Economic
331,스톡옵션 행사한 머스크  테슬라 주식 팔아 차익만  조    억원 챙겼다,Economic
332,요소수 주유소에서만 살 수 있다   구매량 제한,Economic
333, 글로벌증시 투자전략  고공행진  증시 과열의  끝  조정 시작됐나 ,Economic
334,신세계인터 자주  대나무 화장지  만개 팔렸다 ,Economic
335,지오엘리먼트  코스닥 성공 입성  따  달성후 강세,Economic
336,현대카드  국내 최초 유효기간 적립한도 없는 카드 선봬,Economic
337,하이   중국  스태그플레이션  진입  한국 증시 변수로 작용 ,Economic
338, 마스크처럼  주유소서 요소수   L 한정판매 이례적 수급조정,Economic
339, 최강시사  김기식     인 가구     넘어 주택시장 청약제도 분양제도 모두 변화 올 것 ,Economic
340, 인플레 공포 에 코스피 하락 한때      선 위협 종합 ,Economic
341,희비 엇갈린 새내기  지오엘리먼트 급등 아이티아이즈 급락,Economic
342, 핫이슈 키워드  이재명 조건부 특검론 광주 찾은 윤석열 음주 운전자와 초보 운전자의 대결 대장동 수사팀,Economic
343,원하는 일자리 없어 쉬는 사람   만      명,Economic
344,지오엘리먼트  코스닥 상장 첫날 강세 상승률    대,Economic
345,현대카드  첫  적립 한도 유효 기간 없는  멤버십 제공,Economic
346, 분에 화장품     개 생산에 깜짝 놀란 중국   코스맥스의 힘,Economic
347,삼성전자  CES     혁신상 휩쓸어 TV   년 연속 최고상,Economic
348, 속보  코로나   신규 확진     명   이틀째     명대,Economic
349,LG전자    초TV와 손잡고 MZ 감성 저격 나서    스타일러에 빠진 남자  영상 공개,Economic
350,  월     일 수출        수입      무역수지      억달러,Economic
351, 시승기   스포츠 모드 가 어울리는 프리미엄 하이브리드 세단 렉서스 ES    h F 스포츠,Economic
352,속초  국평  아파트  억 돌파 강원도 역대 최고가,Economic
353,물가 상승 우려에 달러 강세 원 달러 환율 상승 출발,Economic
354,내일 유류세     내린다 휘발유  L    원  경유    원 인하,Economic
355,삼성전자 열흘만에   만전자  무너져  물가 급등 영향,Economic
356,공급망 불안에 휘둘리는 물가  높은 물가상승률 당분간 지속 ,Economic
357,삼성생명  분기 영업이익     억원 전년      ,Economic
358,게임   신작보다 메타버스 고개 숙인 엔씨 vs  기세등등  펄어비스,Economic
359,엔씨소프트   분기 영업이익    억원 전년      ,Economic
360,삼성생명   분기 당기순익     억원   전년     가까이 감소,Economic
361,한종희 삼성전자 사장  CES 기조연설   공존의 시대  강조,Economic
362,마트 밖으로 뺐던 전문점  다시 안으로  대형마트  뭉쳐야 산다 ,Economic
363,   만명 저조한 증가세에 디즈니플러스 허니문 끝났나     한국 등 론칭 성과 관건 ,Economic
364,지오엘리먼트  코스닥 상장 첫날 강세 상승률    대,Economic
